u v u_raw v_raw uestimate vestimate distance angle 
1331.0 21.0 1331 21 1 1 1331.16565461 0.903915510902 
1267.74508976 12.6891358808 1194 3 1250.05851141 10.3653518647 1267.80859233 0.573466748015 
1245.20864804 7.21799984229 1199 -4 1034.17903079 -44.0133240171 1245.22956787 0.332118072133 
1194.09545053 -1.38139687682 1189 -3 54.9566825042 -193.032607525 1194.09624957 -0.0662829554632 
1196.12066427 -2.56472282901 1202 -6 1220.81665414 -16.9945111838 1196.12341391 -0.122853465299 
1195.89274483 -3.26338566151 1195 -6 1190.77046669 -18.9651846443 1195.89719743 -0.156349941939 
1196.07636209 -3.55137020527 1197 -5 1198.40084184 -7.19707443019 1196.08163441 -0.170121183516 
1197.15863844 -3.88582442313 1204 -6 1207.90524196 -7.2068309932 1197.16494487 -0.185974147733 
1196.63170306 -4.28041734673 1193 -7 1188.2765567 -10.5371268641 1196.63935868 -0.204949277114 
1196.56166121 -4.58195868873 1196 -7 1195.68083542 -8.3740545302 1196.57043396 -0.219399985907 
1196.1522667 -5.50461198699 1199 -8 1190.12049406 -19.0984310804 1196.16493256 -0.263669448357 
1197.17024107 -6.01475027159 1197 -5 1212.0507788 -13.4718457118 1197.18535044 -0.287859565817 
1197.16591819 -6.01475027159 1199 -8 1197.10239455 -6.01475027159 1197.18102762 -0.287860605239 
1197.85244043 -6.50165071945 1199 -7 1207.98046079 -13.6847211623 1197.87008499 -0.310984454678 
1197.43296042 -6.60464539302 1207 -8 1191.43084191 -8.07834189442 1197.4511748 -0.316021423569 
1197.56789532 -6.81126085121 1196 -7 1199.42107363 -9.64889050577 1197.58726495 -0.325870703003 
1197.85646952 -7.0 1199 -7 1201.7104431 -9.52065391522 1197.87692255 -0.334819656124 
1197.61243271 -7.0 1196 -5 1194.14325992 -7.0 1197.63288991 -0.334887880582 
1197.61243271 -7.0 1203 -7 1197.61243271 -7.0 1197.63288991 -0.334887880582 
1199.38507892 -7.0 1204 -5 1216.81496588 -7.0 1199.40550588 -0.33439294009 
1199.71712596 -6.80676662799 1201 -6 1204.60891464 -3.96001084455 1199.73643538 -0.325072308163 
1199.6870577 -6.83762894301 1197 -7 1199.2581771 -7.27783566633 1199.70654311 -0.326554359129 
1198.68381653 -6.73009176255 1195 -6 1186.20588129 -5.39258487526 1198.70270966 -0.321687668277 
1200.4310265 -6.73022970423 1202 -7 1225.73977796 -6.73222782225 1200.44989291 -0.321226050012 
1198.11100872 -6.63866959659 1196 -6 1163.79200324 -5.28426107976 1198.12940084 -0.317469628501 
1198.27790971 -6.58259761883 1197 -8 1200.74905635 -5.75239234982 1198.29598993 -0.314744405259 
1199.62729182 -6.58168250902 1201 -7 1217.77497761 -6.56937530184 1199.64534668 -0.314346671485 
1199.35100016 -6.7584311038 1198 -10 1195.40422812 -9.28325004689 1199.37004214 -0.322862514561 
1199.01106632 -6.72223791562 1200 -5 1193.92799901 -6.18103727298 1199.02991024 -0.321224579863 
1198.01275793 -6.8879709116 1198 -8 1184.82060282 -9.07805106065 1198.03255895 -0.329418289987 
1197.6767886 -7.01536467208 1194 -5 1192.77027577 -8.87582950963 1197.6973346 -0.335604893066 
1198.86454696 -7.01788918585 1206 -5 1216.37463315 -7.05510589188 1198.88508738 -0.335393051467 
1198.86454696 -7.3398087779 1194 -8 1198.86454696 -11.9748775215 1198.88701501 -0.350777585578 
1198.33783241 -6.48772046156 1204 -4 1190.9556902 5.45468183887 1198.35539432 -0.310192467719 
1198.80351684 -6.55549589167 1204 -4 1204.7766731 -7.4248254256 1198.82144063 -0.313311145753 
1200.800168 -6.42359020911 1207 -7 1229.85256845 -4.50428813566 1200.81734914 -0.306496540785 
1200.76026677 -6.58360678429 1191 -8 1200.22209893 -8.74183023181 1200.77831515 -0.314141892699 
1200.327422 -6.58360678429 1196 -9 1193.90921148 -6.58360678429 1200.34547689 -0.314255171747 
1200.53100686 -6.57506962347 1201 -5 1203.46674359 -6.45196195639 1200.5490119 -0.313794454863 
1198.28142287 -6.34738956776 1196 -9 1166.8882607 -3.1700923679 1198.29823406 -0.303497346103 
1200.74407887 -6.68761999758 1204 -7 1237.11552825 -11.7125499343 1200.76270229 -0.319109163775 
1200.36107989 -6.6943893256 1198 -5 1194.75770984 -6.79342627326 1200.37974698 -0.319534084108 
1200.20061741 -6.51910628585 1199 -7 1197.58357542 -3.6603503237 1200.21832213 -0.311209307604 
1200.24032248 -7.41201503026 1204 -8 1200.62514218 -16.0660457988 1200.26320849 -0.353822290906 
1199.8763914 -7.34312314601 1201 -7 1193.89615767 -6.21106931597 1199.89886078 -0.350640045331 
1199.8763914 -7.41101138545 1209 -5 1199.8763914 -8.49041038569 1199.89927816 -0.353881681386 
1201.18784374 -7.20137071253 1201 -7 1223.61402554 -3.61645977143 1201.2094304 -0.343495988077 
1200.90950408 -7.0 1199 -5 1196.16892892 -3.57033059808 1200.92990512 -0.333968473919 
1200.65387562 -6.1374819806 1199 -4 1198.08182865 2.54088192776 1200.66956225 -0.2928810364 
1201.01984759 -6.24839285703 1201 -7 1206.99240205 -8.05842561214 1201.03610134 -0.298082758743 
1200.58176842 -6.12014723037 1207 -6 1194.55083061 -4.35461840556 1200.59736751 -0.292071375861 
1200.38195494 -6.66256546333 1199 -6 1197.01727818 -15.7963936144 1200.40044465 -0.318009580429 
1200.36533123 -6.12320928521 1199 -6 1200.20755767 -1.00424525169 1200.38094875 -0.292270192223 
1200.37298072 -6.12320928521 1204 -8 1200.49681936 -6.12320928521 1200.38859814 -0.292268329735 
1200.36743152 -5.99878213481 1201 -6 1200.27459767 -3.91721208875 1200.38242075 -0.286330691977 
1200.23838928 -6.00035842363 1203 -5 1198.08861556 -6.02661854001 1200.253388 -0.286436721396 
1200.99558678 -6.0023819798 1204 -7 1208.26405695 -6.02180644656 1201.01058615 -0.286352668442 
1201.24615608 -6.14663104458 1198 -4 1205.2729476 -8.46479574843 1201.26188176 -0.293173003496 
1202.61917443 -6.43194160303 1208 -7 1225.89399804 -11.2684049495 1202.63637421 -0.306430832028 
1202.64192216 -6.00432521356 1201 -5 1203.01943256 1.09219060748 1202.6569107 -0.286053253986 
1201.57670301 -5.88934635283 1198 -5 1191.10669169 -4.7592221293 1201.59113579 -0.280824342894 
1202.01375043 -5.40654976674 1212 -4 1208.49719213 1.75556424413 1202.02590946 -0.257709526411 
1203.02786016 -5.19651044201 1205 -5 1214.23666297 -2.87497725766 1203.03908334 -0.247489085367 
1203.01879862 -5.19651044201 1204 -4 1202.88977196 -5.19651044201 1203.03002189 -0.247490949513 
1203.40482842 -5.0 1196 -5 1209.11640659 -2.09249195922 1203.41521557 -0.2380555922 
1201.44935933 -5.20232028469 1200 -6 1172.95056166 -8.1509145035 1201.4606224 -0.248091299752 
1200.43836006 -4.50476561249 1197 -4 1186.88296216 4.84799197865 1200.44681232 -0.215007162673 
1201.87910414 -5.20232028469 1203 -8 1223.07542142 -15.4647883842 1201.89036318 -0.248002593146 
1200.90850321 -4.7933251776 1199 -5 1187.84596717 0.711010531052 1200.91806925 -0.228690065344 
1200.27199834 -5.3434011536 1189 -6 1191.40947818 -13.0025089506 1200.28389223 -0.25506911122 
1200.24153368 -5.40634310286 1198 -8 1199.80460458 -6.30906677645 1200.25370973 -0.258080177006 
1198.44528842 -5.40634310286 1196 -8 1172.02265515 -5.40634310286 1198.45748272 -0.258466985661 
1197.43452718 -5.60297704547 1196 -6 1182.964955 -8.41789404612 1197.44763569 -0.268093651265 
1197.77270323 -5.6717247249 1200 -6 1202.46455295 -6.62552902881 1197.78613161 -0.271306450395 
1198.02575161 -5.80358579696 1190 -3 1201.11737115 -7.41459896058 1198.03980866 -0.277555278499 
1197.61093842 -5.80026997633 1197 -6 1191.64401482 -5.75257320899 1197.62498427 -0.277492782176 
1198.17915316 -5.83321796969 1201 -6 1206.47079071 -6.31400946791 1198.1933523 -0.278936692665 
1198.01272473 -5.83321796969 1200 -3 1195.55895663 -5.83321796969 1198.02692584 -0.278975442056 
1197.84412103 -6.16736493397 1201 -7 1195.33518753 -11.1396907064 1197.85999794 -0.294997364681 
1198.64558234 -6.3383769558 1205 -7 1210.4556095 -8.85834465928 1198.66234073 -0.302974347859 
1198.77662726 -6.43597273104 1199 -7 1200.73778417 -7.89654538094 1198.79390381 -0.307605706731 
1199.14725304 -6.3800440771 1199 -6 1204.22621267 -5.6136122905 1199.16422538 -0.304838416288 
1199.5997385 -6.50498037839 1194 -7 1206.12092736 -8.30555361225 1199.61737541 -0.31069052156 
1199.59664836 -6.63400110364 1200 -7 1199.54499583 -8.79061173495 1199.61499187 -0.316853494249 
1199.59664836 -6.47704710399 1193 -5 1199.59664836 -3.87909836189 1199.61413416 -0.309357196885 
1199.12268135 -6.53132193813 1187 -4 1194.04038577 -7.11330496189 1199.14046846 -0.312072723614 
1199.12265001 -6.40641611577 1201 -5 1199.12212534 -4.31524159558 1199.13976331 -0.30610472826 
1198.25680344 -6.8310293015 1188 -8 1186.77169607 -12.4633528024 1198.27627446 -0.326628572209 
