u v u_raw v_raw uestimate vestimate distance angle 
899.0 67.0 899 67 1 1 901.493205743 4.26221745371 
898.501780877 67.0 898 67 894.925263507 67.0 900.996365275 4.26457213607 
903.577127753 41.4566099377 914 -11 916.547837705 -23.8228501255 904.527653699 2.62691930896 
903.577127753 46.3453303143 944 6 903.577127753 79.0173604734 904.764895119 2.9361820332 
904.18359072 32.3756187703 906 -316 904.414412835 27.0586933428 904.763033296 2.05068327031 
904.14813218 30.9600167886 904 25 903.419067956 1.85377680765 904.67804636 1.96116699531 
903.109158803 29.7899684663 898 24 883.763523411 8.00372376303 903.600351337 1.88927417534 
902.682335625 28.9986994025 900 24 891.68663232 8.61423973445 903.148007592 1.83999598571 
902.215001734 28.2403806468 899 23 896.032401499 18.2081920939 902.656871935 1.79283928285 
902.215001734 28.5450812536 878 31 902.215001734 31.7547254966 902.666456127 1.81217035791 
902.598751671 23.6765094166 902 24 908.584962796 -52.2695588102 902.909233321 1.50260904143 
902.476672232 18.8355216235 897 24 900.77240191 -48.7463077875 902.673208197 1.19564224815 
901.611464922 22.6873740878 907 24 890.949259685 70.1548897505 901.896862519 1.44143745031 
901.967540153 24.7771254295 905 24 907.006006395 54.3471169862 902.307790854 1.57352424383 
900.652800749 23.9939211152 877 32 881.534917934 12.6051939998 900.972350157 1.52603236387 
900.240534426 24.0018186834 901 25 894.298631006 24.115644589 900.560440572 1.52723316525 
901.971685561 24.1273981765 905 25 930.254531117 26.1790650332 902.294327199 1.53227482462 
901.45101536 24.1448336569 879 32 896.764457119 24.3017706091 901.77430995 1.53426682744 
903.232749001 24.1545039713 906 23 929.174820492 24.295303909 903.555664544 1.53185473634 
903.32946113 24.2610789011 904 25 904.696943059 25.7680180139 903.655197127 1.53844572386 
903.458011214 24.2614763944 903 24 905.52876952 24.2678794439 903.78371155 1.53825211882 
904.397218022 24.5076255529 873 32 919.288421133 28.4103412109 904.729214559 1.55223825087 
904.110644901 24.349901266 905 22 899.593931801 21.8639899843 904.43848653 1.5427419229 
900.735345232 25.9460590519 873 31 858.645520208 45.8500701052 901.108961298 1.64997268216 
904.511146627 24.507285069 908 25 963.980500658 1.8464111431 904.84309214 1.55202128083 
904.542341297 24.5021532954 901 25 905.050184251 24.4186090563 904.874136395 1.55164296305 
904.401722878 24.3363572561 904 24 902.147703393 21.6787573133 904.729094608 1.54138821685 
904.401722878 24.3363572561 875 30 904.401722878 24.3363572561 904.729094608 1.54138821685 
904.673593441 24.6664469023 908 25 909.138959562 30.088038371 905.009803412 1.5618155016 
905.233163397 24.499312874 908 24 912.351714107 22.3731228568 905.564628531 1.55027976634 
905.224252259 24.6066976442 903 22 905.078957565 26.3575892971 905.558632253 1.55708689611 
905.224252259 24.6066976442 875 32 905.224252259 24.6066976442 905.558632253 1.55708689611 
904.93553297 24.3309765592 903 23 902.123811113 21.6458390231 905.262567022 1.54013897817 
904.93553297 24.3309765592 870 32 904.93553297 24.3309765592 905.262567022 1.54013897817 
