execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
1 293 -238 390 -130 341.5 -238.0 nan nan nan nan nan nan 
2 1468 869 2325 227 1896.5 869.0 nan nan nan nan nan nan 
3 1396 458 1539 314 1467.5 458.0 nan nan nan nan nan nan 
4 1396 458 1539 314 1467.5 458.0 nan nan nan nan nan nan 
5 1396 458 1539 314 1467.5 458.0 nan nan nan nan nan nan 
6 1541 -19 1342 -703 1441.5 -19.0 nan nan nan nan nan nan 
7 1402 -114 1487 -870 1444.5 -114.0 nan nan nan nan nan nan 
8 1402 -114 1487 -870 1444.5 -114.0 nan nan nan nan nan nan 
9 1478 298 1696 181 1587.0 298.0 nan nan nan nan nan nan 
10 1478 298 1696 181 1587.0 298.0 nan nan nan nan nan nan 
11 1422 155 1229 -330 1325.5 155.0 nan nan nan nan nan nan 
12 1422 155 1229 -330 1325.5 155.0 nan nan nan nan nan nan 
13 1422 155 1229 -330 1325.5 155.0 nan nan nan nan nan nan 
14 1209 -638 1657 -217 1433.0 -638.0 nan nan nan nan nan nan 
15 1283 -882 1026 -872 1154.5 -882.0 nan nan nan nan nan nan 
16 1083 -826 2094 -428 1588.5 -826.0 nan nan nan nan nan nan 
17 3171 -993 627 -627 1899.0 -993.0 nan nan nan nan nan nan 
18 2040 -921 1204 -1177 1622.0 -921.0 nan nan nan nan nan nan 
19 810 -1012 1554 -717 1182.0 -1012.0 nan nan nan nan nan nan 
20 253 -1444 736 -1031 494.5 -1444.0 nan nan nan nan nan nan 
21 656 -811 286 -1076 471.0 -811.0 nan nan nan nan nan nan 
22 519 -1457 1137 -1118 828.0 -1457.0 nan nan nan nan nan nan 
23 781 -1013 230 -1276 505.5 -1013.0 nan nan nan nan nan nan 
24 2456 -1516 557 -948 1506.5 -1516.0 nan nan nan nan nan nan 
25 2498 -344 946 -739 1722.0 -344.0 nan nan nan nan nan nan 
26 1791 -2091 3350 -1083 2570.5 -2091.0 nan nan nan nan nan nan 
27 3480 -1002 1115 -1484 2297.5 -1002.0 nan nan nan nan nan nan 
28 1777 -2046 4958 -1705 3367.5 -2046.0 nan nan nan nan nan nan 
29 2659 -2604 1130 -1129 1894.5 -2604.0 nan nan nan nan nan nan 
30 3014 -3446 419 -1313 1716.5 -3446.0 nan nan nan nan nan nan 
31 200 -1108 -340 -1344 -70.0 -1108.0 nan nan nan nan nan nan 
32 -375 -1471 39 -780 -168.0 -1471.0 nan nan nan nan nan nan 
33 -375 -1471 39 -780 -168.0 -1471.0 nan nan nan nan nan nan 
34 -375 -1471 39 -780 -168.0 -1471.0 nan nan nan nan nan nan 
35 -237 -2460 139 -682 -49.0 -2460.0 nan nan nan nan nan nan 
36 401 -1345 344 -1378 372.5 -1345.0 nan nan nan nan nan nan 
37 830 -916 295 2511 562.5 -916.0 nan nan nan nan nan nan 
38 781 -894 2553 -677 1667.0 -894.0 nan nan nan nan nan nan 
39 2264 -674 897 -993 1580.5 -674.0 nan nan nan nan nan nan 
40 2347 1070 2179 -689 2263.0 1070.0 nan nan nan nan nan nan 
41 2385 1004 2421 -875 2403.0 1004.0 nan nan nan nan nan nan 
42 2027 909 2003 -677 2015.0 909.0 nan nan nan nan nan nan 
43 2132 921 2110 -753 2121.0 921.0 nan nan nan nan nan nan 
44 2066 -687 2123 986 2094.5 -687.0 nan nan nan nan nan nan 
45 2145 -780 2264 962 2204.5 -780.0 nan nan nan nan nan nan 
46 2297 991 2191 -777 2244.0 991.0 nan nan nan nan nan nan 
47 2328 1024 2462 -869 2395.0 1024.0 nan nan nan nan nan nan 
48 2177 970 2183 -765 2180.0 970.0 nan nan nan nan nan nan 
49 1985 871 2018 -730 2001.5 871.0 nan nan nan nan nan nan 
50 2056 920 2046 -712 2051.0 920.0 nan nan nan nan nan nan 
51 1974 932 2015 -651 1994.5 932.0 nan nan nan nan nan nan 
52 2095 936 2109 -733 2102.0 936.0 nan nan nan nan nan nan 
53 2030 896 2011 -709 2020.5 896.0 nan nan nan nan nan nan 
54 1934 864 1908 -667 1921.0 864.0 nan nan nan nan nan nan 
55 1934 867 1922 -669 1928.0 867.0 nan nan nan nan nan nan 
